energia_ren,pais,year,percentagem,mio_t_co2eq,meta_eu
REN_HEAT_CL,BG,2005,14.257,48.38235,28.243000000000002
REN_HEAT_CL,CY,2005,9.97,9.1627,32.53
REN_HEAT_CL,CZ,2005,10.835,137.10309,31.665
REN_HEAT_CL,DE,2005,7.711,1000.23789,34.789
REN_HEAT_CL,DK,2005,22.612,73.25151,19.888
REN_HEAT_CL,EE,2005,32.369,17.7136,10.131
REN_HEAT_CL,EL,2005,13.384,133.1957,29.116
REN_HEAT_CL,ES,2005,9.409,389.17408,33.091
REN_HEAT_CL,FI,2005,39.116,35.54575,3.3840000000000003
REN_HEAT_CL,FR,2005,12.363,495.06989,30.137
REN_HEAT_CL,HR,2005,30.002,21.8555,12.498000000000001
REN_HEAT_CL,HU,2005,9.935,71.50558,32.565
REN_HEAT_CL,IE,2005,3.442,76.359,39.058
REN_HEAT_CL,IT,2005,8.223,549.71191,34.277
REN_HEAT_CL,LT,2005,29.318,18.68277,13.181999999999999
REN_HEAT_CL,LU,2005,3.612,12.43828,38.888
REN_HEAT_CL,LV,2005,42.679,4.05804,-0.17900000000000205
REN_HEAT_CL,MT,2005,1.028,2.98617,41.472
REN_HEAT_CL,NL,2005,2.379,218.72521,40.121
REN_HEAT_CL,PL,2005,10.161,341.83969,32.339
REN_HEAT_CL,PT,2005,32.075,91.31144,10.424999999999997
REN_HEAT_CL,RO,2005,17.928,115.78886,24.572
REN_HEAT_CL,SE,2005,49.022,8.18075,-6.5219999999999985
REN_HEAT_CL,SI,2005,26.404,13.42284,16.096
REN_HEAT_CL,SK,2005,5.031,48.0176,37.469
REN_TRA,AT,2005,5.07,77.89928,37.43
REN_TRA,BE,2005,0.663,142.81759,41.837
REN_TRA,BG,2005,0.884,48.38235,41.616
REN_TRA,CY,2005,0.0,9.1627,42.5
REN_TRA,CZ,2005,1.099,137.10309,41.401
REN_TRA,DE,2005,3.953,1000.23789,38.547
REN_TRA,DK,2005,0.443,73.25151,42.057
REN_TRA,EE,2005,0.235,17.7136,42.265
REN_TRA,EL,2005,0.059,133.1957,42.441
REN_TRA,ES,2005,1.267,389.17408,41.233
REN_TRA,FI,2005,0.91,35.54575,41.59
REN_TRA,FR,2005,0.784,495.06989,41.716
REN_TRA,HR,2005,1.025,21.8555,41.475
REN_TRA,HU,2005,1.006,71.50558,41.494
REN_TRA,IE,2005,0.075,76.359,42.425
REN_TRA,IT,2005,1.048,549.71191,41.452
REN_TRA,LT,2005,0.657,18.68277,41.843
REN_TRA,LU,2005,0.159,12.43828,42.341
REN_TRA,LV,2005,2.389,4.05804,40.111
REN_TRA,MT,2005,0.0,2.98617,42.5
REN_TRA,NL,2005,0.499,218.72521,42.001
REN_TRA,PL,2005,1.746,341.83969,40.754
REN_TRA,PT,2005,0.45,91.31144,42.05
REN_TRA,RO,2005,1.872,115.78886,40.628
REN_TRA,SE,2005,6.596,8.18075,35.903999999999996
REN_TRA,SI,2005,0.831,13.42284,41.669
REN_TRA,SK,2005,1.66,48.0176,40.84
REN,AT,2006,26.276,82.20401,16.224
REN,BE,2006,2.658,140.2172,39.842
REN,BG,2006,9.415,51.9171,33.085
REN,CY,2006,3.263,9.41115,39.237
REN,CZ,2006,7.362,139.37525,35.138
REN,DE,2006,8.466,1021.1851,34.034
REN,DK,2006,16.332,81.33923,26.168
REN,EE,2006,16.011,14.56781,26.489
REN,EL,2006,7.458,129.65577,35.042
REN,ES,2006,9.156,380.87092,33.344
REN,FI,2006,30.043,43.00939,12.457
REN,FR,2006,8.936,484.56095,33.564
REN,HR,2006,22.668,22.42895,19.832
REN,HU,2006,7.433,71.94079,35.067
REN,IE,2006,3.073,73.7122,39.427
REN,IT,2006,8.328,535.18449,34.172
REN,LT,2006,16.887,19.92912,25.613
REN,LU,2006,1.469,12.35337,41.031
REN,LV,2006,31.141,3.81565,11.359000000000002
REN,MT,2006,0.149,3.03254,42.351
REN,NL,2006,2.778,213.44383,39.722
REN,PL,2006,6.859,355.99438,35.641
REN,PT,2006,20.792,79.90483,21.708
REN,RO,2006,17.096,118.22075,25.404
REN,SE,2006,41.734,2.77105,0.7659999999999982
REN,SI,2006,18.416,13.67208,24.084
REN,SK,2006,6.584,44.34489,35.916
REN_ELC,AT,2006,63.527,82.20401,-21.027
REN_ELC,BE,2006,3.13,140.2172,39.37
REN_ELC,BG,2006,8.73,51.9171,33.769999999999996
REN_ELC,CY,2006,0.034,9.41115,42.466
REN_ELC,CZ,2006,4.096,139.37525,38.403999999999996
REN_ELC,DE,2006,11.944,1021.1851,30.555999999999997
REN_ELC,DK,2006,23.966,81.33923,18.534
REN_ELC,EE,2006,1.428,14.56781,41.072
REN_ELC,EL,2006,8.924,129.65577,33.576
REN_ELC,ES,2006,20.027,380.87092,22.473
REN_ELC,FI,2006,26.42,43.00939,16.08
REN_ELC,FR,2006,14.058,484.56095,28.442
REN_ELC,HR,2006,34.818,22.42895,7.682000000000002
REN_ELC,HU,2006,3.453,71.94079,39.047
REN_ELC,IE,2006,8.505,73.7122,33.995
REN_ELC,IT,2006,15.926,535.18449,26.573999999999998
REN_ELC,LT,2006,4.016,19.92912,38.484
REN_ELC,LU,2006,3.172,12.35337,39.328
REN_ELC,LV,2006,40.414,3.81565,2.0859999999999985
REN_ELC,MT,2006,0.0,3.03254,42.5
REN_ELC,NL,2006,6.541,213.44383,35.959
REN_ELC,PL,2006,2.86,355.99438,39.64
REN_ELC,PT,2006,29.308,79.90483,13.192
REN_ELC,RO,2006,28.054,118.22075,14.446000000000002
REN_ELC,SE,2006,51.783,2.77105,-9.283000000000001
REN_ELC,SI,2006,28.231,13.67208,14.268999999999998
REN_ELC,SK,2006,16.566,44.34489,25.934
REN_HEAT_CL,AT,2006,24.491,82.20401,18.009
